Fecha;Camas UCI ocupadas Covid-19;Total camas UCI COVID 19 reportadas por IPS;Ocupación UCI COVID 19
15/04/2022;209.00;508;41.14%
16/04/2022;204.00;502;40.64%
17/04/2022;194.00;502;38.65%
18/04/2022;197.00;506;38.93%
19/04/2022;203.00;502;40.44%
20/04/2022;188.00;512;36.72%
21/04/2022;204.00;510;40.00%
22/04/2022;208.00;513;40.55%
23/04/2022;202.00;503;40.16%
24/04/2022;197.00;504;39.09%
25/04/2022;187.00;493;37.93%
26/04/2022;195.00;498;39.16%
27/04/2022;188.00;496;37.90%
28/04/2022;190.00;494;38.46%
29/04/2022;184.00;496;37.10%
30/04/2022;208.00;490;42.45%
1/05/2022;213.00;491;43.38%
5/05/2022;186.00;481;38.67%
12/05/2022;185.00;482;38.38%
19/05/2022;177.00;461;38.39%
26/05/2022;167.00;379;44.06%
2/06/2022;180.00;379;47.49%
9/06/2022;201.00;374;53.74%
16/06/2022;200.00;370;54.05%
